job_id,time_m1,time_m2,time_m3,due_date
0,12.724069,7.829723,19.293793,544.145288
1,13.844928,19.106364,6.368577,826.481779
2,8.347222,8.767609,9.816866,699.486960
3,19.120091,15.593566,9.751878,113.207417
4,9.296509,8.263120,12.533619,385.553456
5,6.734047,8.131716,18.180135,636.738914
6,6.423724,18.006618,11.734924,278.596774
7,17.076845,15.329280,11.544934,286.062782
8,13.162860,17.514807,15.622732,92.284368
9,5.446973,10.369187,9.337990,779.032174
10,14.115914,7.085893,11.319740,462.349518
11,12.206231,8.875156,15.344961,201.431367
12,19.913526,10.683723,12.531771,857.069305
13,10.275994,18.516685,13.292783,432.495221
14,8.561071,9.951317,12.908130,886.579120
15,7.311408,17.699310,18.851848,85.820957
16,14.661105,8.549510,6.487954,1906.679881
17,8.713854,11.215680,15.562966,504.686783
18,18.520422,19.632258,12.001389,107.121000
19,17.549229,7.260997,10.459835,161.035713
