job_id,time_m1,time_m2,time_m3,due_date
0,9.043509,5.475901,8.228715,479.186090
1,15.845314,14.919954,9.134444,49.178872
2,15.165085,13.684351,13.495647,380.404284
3,13.962551,18.200231,19.987855,204.167060
4,6.218915,12.575865,11.421507,2050.269204
5,12.359527,9.782212,10.496411,90.221413
6,11.718968,15.650623,5.270481,47.892436
7,13.645636,13.777334,10.082208,771.065968
8,8.526579,18.764733,19.242161,789.048188
9,17.905586,6.854085,14.837682,321.047088
10,6.427385,12.186321,10.043028,675.427095
11,8.704339,17.346514,12.521616,1157.436211
12,11.205211,5.136253,11.306684,138.465823
13,11.390246,12.191117,15.074173,545.394500
14,9.054216,16.602631,12.279118,38.977952
