job_id,time_m1,time_m2,time_m3,due_date
0,13.949221,6.849350,5.419160,122.881741
1,9.437515,14.287146,12.327916,331.202987
2,7.863993,12.261938,14.428783,751.869122
3,19.410843,9.638159,12.239004,896.616490
4,19.901385,8.452506,5.967913,562.973662
5,13.813086,7.155381,7.392294,493.811774
6,5.719223,5.718833,15.150141,431.639250
7,15.015347,8.563592,13.742418,1720.311462
8,9.381858,9.193637,18.649073,102.452674
9,7.083375,9.049406,14.643403,69.690359
10,5.336803,14.037335,14.195688,285.579952
11,8.382712,16.558178,14.096982,356.958150
12,7.825266,6.715964,6.912137,139.358153
13,7.543186,7.287598,7.783601,319.223443
14,8.635270,5.205355,18.157051,284.815109
15,17.074104,11.467752,5.644293,239.216261
16,12.630757,7.017232,16.359080,272.163623
17,17.863190,15.833078,18.171063,69.711833
18,11.495569,19.187324,6.549522,130.798115
19,8.258050,5.869994,15.920477,197.958601
