job_id,time_m1,time_m2,time_m3,due_date
0,18.438536,7.954025,6.700679,86.667804
1,16.314560,17.870045,19.871673,564.637710
2,14.600088,15.309759,12.242444,398.487012
3,7.153309,5.626460,18.026243,758.932019
4,19.472440,16.102607,13.808970,130.591106
5,18.034478,12.936367,18.016734,732.158380
6,16.790729,14.478465,16.976227,300.168364
7,15.705572,12.875878,14.140485,1681.023534
8,18.335974,15.724350,13.986432,167.432996
9,17.595578,11.157611,10.545359,929.748761
10,12.161040,15.469846,7.776251,665.929651
11,19.295794,14.202438,17.691633,433.759400
12,15.789638,11.673940,9.659472,1253.139009
13,14.751220,18.877950,9.986808,177.391790
14,13.091882,13.886323,5.871051,70.677213
