job_id,arrival_time,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
0,34.39,7.92,19.48,18.86,573.7,80.66,0.0
1,77.42,8.22,8.33,9.33,1026.76,106.53,0.0
2,86.86,19.57,6.06,7.9,193.27,140.05,0.0
3,144.91,10.5,12.08,9.89,972.0,177.42,0.0
4,165.36,8.12,11.45,9.56,286.47,206.56,0.0
5,233.87,15.2,14.97,18.24,675.42,282.37,0.0
6,252.71,11.34,11.07,15.03,295.28,319.81,24.53
8,277.74,13.47,7.3,5.52,460.26,346.1,0.0
10,322.18,12.13,12.48,18.14,657.03,388.84,0.0
9,280.42,7.26,15.27,15.92,671.85,427.3,0.0
11,402.8,15.37,15.25,5.09,507.28,463.01,0.0
16,454.7,6.01,13.23,15.34,827.14,497.59,0.0
19,483.6,6.43,14.8,18.31,532.69,537.13,4.44
21,533.98,9.1,14.91,13.29,1171.6,574.42,0.0
23,570.3,5.81,8.31,5.99,715.99,594.54,0.0
7,277.36,13.03,10.18,5.33,1261.0,623.08,0.0
25,619.99,15.31,10.47,14.94,1285.8,663.79,0.0
27,636.27,11.53,11.82,9.45,701.46,696.6,0.0
29,650.66,15.66,19.26,16.6,1192.32,748.11,0.0
24,575.37,10.14,10.55,11.71,1464.57,780.51,0.0
28,638.28,19.89,16.1,11.58,1546.33,828.08,0.0
30,812.99,18.83,5.87,11.18,1320.08,863.97,0.0
13,409.08,15.59,16.62,17.14,1689.17,913.31,0.0
26,625.38,13.19,9.78,15.14,1702.99,951.41,0.0
32,828.16,15.38,8.99,14.57,1787.49,990.35,0.0
33,976.68,16.97,10.08,15.95,1144.04,1033.36,0.0
34,1026.1,11.26,8.98,8.58,1246.29,1062.17,0.0
20,523.21,17.85,11.88,13.54,1843.97,1105.45,0.0
35,1088.98,6.44,8.49,7.88,1246.54,1128.26,0.0
12,404.08,10.19,19.19,18.14,1880.01,1175.77,0.0
38,1170.53,8.4,13.89,19.02,1529.01,1217.08,0.0
36,1140.72,13.81,14.97,18.5,1654.46,1264.37,0.0
15,438.43,18.34,7.09,19.36,2173.67,1309.16,0.0
39,1276.21,18.56,13.65,12.22,1428.72,1353.59,0.0
41,1317.29,19.91,11.04,7.01,1403.37,1391.55,0.0
42,1330.73,12.96,19.79,9.46,1582.95,1433.76,0.0
14,415.06,7.68,16.89,16.07,2202.18,1474.4,0.0
18,468.41,8.07,6.68,19.72,2314.63,1508.87,0.0
44,1480.98,16.33,19.04,9.99,1552.15,1554.22,2.07
45,1495.35,18.47,12.04,8.01,1662.25,1592.73,0.0
47,1558.2,7.86,16.66,8.36,2175.3,1625.62,0.0
22,550.06,19.05,9.32,15.18,2352.66,1669.18,0.0
51,1642.08,14.92,10.57,17.82,1721.21,1712.48,0.0
31,825.65,14.25,7.15,16.21,2390.38,1750.09,0.0
48,1559.55,18.39,6.93,13.89,2448.85,1789.29,0.0
52,1757.78,5.65,5.85,5.04,1879.33,1805.83,0.0
50,1638.29,19.69,17.75,5.83,2553.83,1849.11,0.0
17,457.04,9.18,17.37,6.36,2658.56,1882.02,0.0
46,1502.44,11.59,18.89,18.26,2661.64,1930.75,0.0
53,1926.88,17.53,18.75,7.8,2882.43,1974.82,0.0
43,1381.49,10.83,13.38,7.27,2916.1,2006.3,0.0
54,1989.54,15.9,9.04,19.56,3054.68,2050.81,0.0
55,2035.11,9.27,10.96,16.37,2640.62,2087.4,0.0
56,2061.56,18.8,11.31,17.88,2147.05,2135.39,0.0
58,2130.26,14.35,7.05,19.16,2388.44,2175.94,0.0
57,2091.43,15.7,5.16,15.45,2391.61,2212.24,0.0
37,1142.24,7.84,12.75,15.73,3142.58,2248.56,0.0
59,2136.05,11.64,5.96,6.52,3282.95,2272.68,0.0
60,2140.11,13.12,18.28,11.81,3502.67,2315.89,0.0
62,2285.95,15.71,12.65,19.37,3388.37,2363.62,0.0
64,2343.33,8.83,15.74,12.94,3028.15,2401.12,0.0
65,2356.71,13.5,18.18,19.7,3037.63,2452.51,0.0
67,2413.66,7.21,12.5,9.58,2561.54,2481.8,0.0
69,2423.55,8.76,15.03,5.11,2756.92,2510.69,0.0
63,2342.82,18.67,5.82,16.12,3070.86,2551.3,0.0
70,2430.18,8.46,18.3,7.39,3461.31,2585.45,0.0
72,2559.79,10.26,18.29,15.44,2904.92,2629.43,0.0
74,2600.24,18.75,15.71,5.17,2729.57,2669.06,0.0
75,2622.85,18.31,18.1,8.76,3129.89,2714.23,0.0
71,2525.42,8.69,17.94,9.81,3722.21,2750.67,0.0
76,2725.36,8.14,6.57,11.22,3645.42,2776.61,0.0
68,2420.48,11.37,16.89,7.57,3740.35,2812.44,0.0
77,2806.82,18.15,5.17,7.63,2945.42,2843.4,0.0
78,2842.62,11.09,18.84,14.23,3633.93,2887.55,0.0
66,2408.64,6.31,7.11,13.39,3807.23,2914.36,0.0
61,2210.19,7.47,6.15,16.76,3816.93,2944.73,0.0
49,1600.36,15.23,10.54,16.88,3826.78,2987.39,0.0
81,2957.65,18.03,17.86,15.45,3527.39,3038.74,0.0
83,3003.97,8.54,18.19,9.81,3467.48,3075.27,0.0
84,3026.78,15.52,5.58,14.57,3586.3,3110.95,0.0
85,3090.53,10.49,13.57,19.51,3181.15,3154.52,0.0
86,3152.6,12.02,9.5,9.12,3375.41,3185.16,0.0
80,2948.79,7.59,5.8,10.47,3961.12,3209.02,0.0
82,2964.09,17.14,7.59,12.44,4113.89,3246.19,0.0
87,3225.84,8.04,19.43,12.75,3528.99,3286.41,0.0
88,3286.24,13.72,18.27,7.16,4247.76,3325.56,0.0
89,3287.35,7.75,11.22,9.7,3576.21,3354.23,0.0
93,3344.72,13.08,7.28,5.27,3566.01,3379.86,0.0
79,2888.51,8.07,18.42,17.92,4287.17,3424.28,0.0
94,3392.65,12.93,9.31,13.7,3496.03,3460.22,0.0
96,3425.37,11.23,13.63,8.89,4079.72,3493.96,0.0
98,3488.46,12.81,7.42,12.89,3781.01,3527.08,0.0
97,3483.85,6.11,7.98,5.31,4028.54,3546.47,0.0
95,3409.21,6.47,17.36,10.74,4428.46,3581.05,0.0
90,3320.64,16.2,11.24,12.63,4553.37,3621.12,0.0
91,3330.77,19.97,5.35,10.56,4733.03,3657.01,0.0
100,3621.31,10.04,19.7,19.37,3804.54,3706.13,0.0
101,3676.36,15.31,14.25,15.66,3976.98,3751.35,0.0
103,3749.64,5.48,7.54,14.93,4781.6,3779.3,0.0
102,3747.38,15.83,7.75,19.49,4825.6,3822.37,0.0
92,3341.37,9.96,7.56,19.61,5014.05,3859.51,0.0
104,3855.43,18.25,8.07,7.91,3959.14,3893.74,0.0
105,3874.96,11.35,10.7,17.31,4657.86,3933.11,0.0
