job_id,arrival_time,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
0,54.34,7.92,19.48,18.86,154.99,100.66,0.0
1,122.33,8.22,8.33,9.33,250.09,148.23,0.0
2,137.24,19.57,6.06,7.9,178.8,181.75,2.95
3,228.97,10.5,12.08,9.89,349.11,261.52,0.0
4,261.28,8.12,11.45,9.56,300.56,290.66,0.0
5,369.53,15.2,14.97,18.24,461.32,417.97,0.0
6,399.31,11.34,11.07,15.03,437.32,455.41,18.1
8,438.85,13.47,7.3,5.52,482.37,481.7,0.0
9,443.09,7.26,15.27,15.92,520.49,520.16,0.0
7,438.26,13.03,10.18,5.33,572.17,548.69,0.0
10,509.07,12.13,12.48,18.14,584.04,591.44,7.4
11,636.45,15.37,15.25,5.09,679.75,672.24,0.0
13,646.38,15.59,16.62,17.14,831.51,721.59,0.0
16,718.46,6.01,13.23,15.34,790.32,756.17,0.0
12,638.48,10.19,19.19,18.14,843.59,803.68,0.0
19,764.13,6.43,14.8,18.31,804.73,843.23,38.5
14,655.82,7.68,16.89,16.07,889.15,883.87,0.0
15,692.75,18.34,7.09,19.36,924.05,928.66,4.61
23,901.13,5.81,8.31,5.99,935.09,948.78,13.68
21,843.74,9.1,14.91,13.29,947.26,986.07,38.81
18,740.13,8.07,6.68,19.72,974.48,1020.53,46.05
17,722.16,9.18,17.37,6.36,994.33,1053.44,59.11
20,826.72,17.85,11.88,13.54,1010.94,1096.71,85.77
24,909.14,10.14,10.55,11.71,1036.07,1129.11,93.05
27,1005.35,11.53,11.82,9.45,1041.73,1161.91,120.18
25,979.64,15.31,10.47,14.94,1089.32,1202.63,113.31
22,869.15,19.05,9.32,15.18,1106.78,1246.19,139.41
29,1028.09,15.66,19.26,16.6,1133.69,1297.71,164.02
26,988.16,13.19,9.78,15.14,1140.95,1335.81,194.86
28,1008.53,19.89,16.1,11.58,1151.04,1383.38,232.34
30,1284.59,18.83,5.87,11.18,1372.46,1419.26,46.8
32,1308.57,15.38,8.99,14.57,1449.06,1458.21,9.15
31,1304.6,14.25,7.15,16.21,1510.69,1495.82,0.0
33,1543.24,16.97,10.08,15.95,1599.97,1586.32,0.0
34,1621.32,11.26,8.98,8.58,1671.25,1650.13,0.0
35,1720.68,6.44,8.49,7.88,1758.36,1743.54,0.0
36,1802.44,13.81,14.97,18.5,1901.18,1849.73,0.0
38,1849.54,8.4,13.89,19.02,1925.84,1891.04,0.0
37,1804.84,7.84,12.75,15.73,2057.85,1927.36,0.0
39,2016.52,18.56,13.65,12.22,2072.87,2060.99,0.0
40,2023.83,5.61,14.17,15.69,2492.84,2096.46,0.0
41,2081.43,19.91,11.04,7.01,2124.7,2134.42,9.72
42,2102.66,12.96,19.79,9.46,2168.05,2176.63,8.59
43,2182.87,10.83,13.38,7.27,2380.18,2214.41,0.0
44,2340.08,16.33,19.04,9.99,2388.27,2385.46,0.0
45,2362.79,18.47,12.04,8.01,2415.46,2423.97,8.51
46,2373.99,11.59,18.89,18.26,2545.23,2472.7,0.0
47,2462.09,7.86,16.66,8.36,2559.43,2505.59,0.0
48,2464.22,18.39,6.93,13.89,2597.21,2544.79,0.0
49,2528.7,15.23,10.54,16.88,2812.29,2587.45,0.0
50,2588.64,19.69,17.75,5.83,2728.15,2631.92,0.0
51,2594.63,14.92,10.57,17.82,2641.88,2675.23,33.35
