job_id,arrival_time,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
0,57.89,7.92,19.48,18.86,147.46,104.16,0.0
1,130.34,8.22,8.33,9.33,237.33,156.23,0.0
2,146.22,19.57,6.06,7.9,186.15,189.75,3.61
3,243.96,10.5,12.08,9.89,346.22,276.52,0.0
4,278.37,8.12,11.45,9.56,315.59,307.56,0.0
5,393.71,15.2,14.97,18.24,476.66,442.17,0.0
6,425.43,11.34,11.07,15.03,463.33,479.61,16.28
8,467.56,13.47,7.3,5.52,507.57,505.9,0.0
9,472.09,7.26,15.27,15.92,541.55,544.36,2.81
7,466.93,13.03,10.18,5.33,579.37,572.89,0.0
10,542.38,12.13,12.48,18.14,610.78,615.64,4.86
11,678.1,15.37,15.25,5.09,719.84,713.84,0.0
13,688.68,15.59,16.62,17.14,846.13,763.19,0.0
12,680.26,10.19,19.19,18.14,853.25,810.7,0.0
16,765.48,6.01,13.23,15.34,829.73,845.28,15.55
19,814.13,6.43,14.8,18.31,854.51,884.83,30.31
14,698.74,7.68,16.89,16.07,892.79,925.47,32.68
15,738.08,18.34,7.09,19.36,931.36,970.26,38.9
18,788.55,8.07,6.68,19.72,982.17,1004.73,22.56
21,898.95,9.1,14.91,13.29,988.97,1042.02,53.05
23,960.09,5.81,8.31,5.99,991.24,1062.13,70.9
17,769.42,9.18,17.37,6.36,992.81,1095.04,102.23
20,880.82,17.85,11.88,13.54,1036.31,1138.31,102.01
24,968.63,10.14,10.55,11.71,1076.29,1170.71,94.42
27,1071.14,11.53,11.82,9.45,1106.79,1203.51,96.73
22,926.02,19.05,9.32,15.18,1124.09,1247.07,122.98
25,1043.74,15.31,10.47,14.94,1139.37,1287.79,148.42
26,1052.82,13.19,9.78,15.14,1182.23,1325.89,143.66
29,1095.37,15.66,19.26,16.6,1189.94,1377.41,187.47
28,1074.52,19.89,16.1,11.58,1197.68,1424.98,227.3
30,1368.65,18.83,5.87,11.18,1445.92,1460.86,14.94
32,1394.19,15.38,8.99,14.57,1513.98,1499.81,0.0
31,1389.96,14.25,7.15,16.21,1561.71,1537.42,0.0
33,1644.22,16.97,10.08,15.95,1698.15,1687.32,0.0
34,1727.41,11.26,8.98,8.58,1773.03,1756.23,0.0
