job_id,arrival_time,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
0,77.94,7.92,19.48,18.86,136.54,124.26,0.0
1,175.48,8.22,8.33,9.33,224.46,201.43,0.0
2,196.86,19.57,6.06,7.9,232.2,234.95,2.75
3,328.44,10.5,12.08,9.89,380.79,360.92,0.0
4,374.77,8.12,11.45,9.56,406.21,403.96,0.0
5,530.05,15.2,14.97,18.24,588.3,578.47,0.0
6,572.76,11.34,11.07,15.03,610.33,615.91,5.58
7,628.63,13.03,10.18,5.33,681.07,657.25,0.0
8,629.48,13.47,7.3,5.52,659.67,683.54,23.86
9,635.57,7.26,15.27,15.92,682.86,721.99,39.13
10,730.2,12.13,12.48,18.14,780.26,773.04,0.0
11,912.92,15.37,15.25,5.09,950.34,948.64,0.0
12,915.83,10.19,19.19,18.14,999.1,996.16,0.0
13,927.16,15.59,16.62,17.14,1007.31,1045.5,38.19
14,940.7,7.68,16.89,16.07,1025.06,1086.14,61.08
16,1030.55,6.01,13.23,15.34,1073.59,1120.72,47.13
15,993.67,18.34,7.09,19.36,1080.78,1165.51,84.74
17,1035.86,9.18,17.37,6.36,1123.05,1198.42,75.38
19,1096.05,6.43,14.8,18.31,1135.84,1237.97,102.13
18,1061.62,8.07,6.68,19.72,1141.44,1272.43,131.0
20,1185.84,17.85,11.88,13.54,1261.09,1315.71,54.62
21,1210.24,9.1,14.91,13.29,1262.56,1353.0,90.44
23,1292.56,5.81,8.31,5.99,1315.82,1373.11,57.29
22,1246.69,19.05,9.32,15.18,1334.28,1416.67,82.39
24,1304.06,10.14,10.55,11.71,1357.9,1449.07,91.17
25,1405.18,15.31,10.47,14.94,1461.55,1489.79,28.24
27,1442.06,11.53,11.82,9.45,1475.68,1522.59,46.91
26,1417.4,13.19,9.78,15.14,1481.52,1560.69,79.17
28,1446.62,19.89,16.1,11.58,1515.73,1608.27,92.53
29,1474.68,15.66,19.26,16.6,1538.47,1659.78,121.31
30,1842.6,18.83,5.87,11.18,1890.28,1878.56,0.0
