job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
918,14.76,19.72,7.54,86.03,42.02,0.0
806,11.86,10.89,13.29,108.88,58.65,0.0
427,6.76,7.41,12.83,110.67,71.48,0.0
283,8.91,5.68,19.34,128.32,90.83,0.0
269,10.05,7.86,13.96,148.49,104.79,0.0
736,14.86,6.61,18.23,162.68,123.02,0.0
334,5.79,9.12,8.8,165.75,131.81,0.0
854,8.61,5.17,17.7,165.93,149.51,0.0
58,13.68,8.49,19.8,173.2,169.31,0.0
20,16.23,13.52,10.01,190.09,179.31,0.0
573,8.49,19.95,8.76,205.23,188.08,0.0
534,9.25,12.27,14.71,215.91,202.79,0.0
133,16.14,13.57,16.11,239.45,218.9,0.0
351,14.34,6.8,6.48,249.24,225.38,0.0
646,14.38,11.92,5.6,273.43,230.98,0.0
102,16.66,5.48,16.2,284.34,247.18,0.0
576,8.65,6.94,6.36,287.31,253.54,0.0
759,12.62,18.96,19.28,287.59,272.82,0.0
690,12.65,15.5,17.55,291.8,290.37,0.0
72,16.61,12.77,11.06,299.51,301.43,1.92
499,13.84,9.73,11.09,311.93,312.52,0.58
962,18.18,19.71,17.63,314.45,330.14,15.69
928,14.37,7.37,8.14,320.77,338.28,17.51
956,18.1,6.09,9.04,324.6,347.32,22.72
96,8.08,14.63,10.84,335.47,358.16,22.69
912,6.53,12.23,15.08,339.21,373.24,34.03
610,9.95,5.36,14.84,350.68,388.08,37.4
922,14.5,6.84,16.09,362.77,404.17,41.39
237,19.81,9.11,17.71,414.79,421.88,7.1
227,9.96,15.64,13.41,428.06,435.29,7.23
313,14.18,16.37,15.9,453.33,451.19,0.0
850,14.34,19.85,5.47,477.05,456.66,0.0
693,11.45,10.42,16.68,485.46,473.34,0.0
594,16.25,11.98,12.42,488.83,485.76,0.0
560,14.03,6.77,7.76,493.79,493.52,0.0
175,9.45,15.34,19.43,508.27,512.95,4.68
970,11.04,17.13,15.06,520.42,528.01,7.58
83,10.62,19.68,11.05,522.94,539.06,16.12
57,19.44,16.51,15.33,532.89,554.38,21.5
996,7.52,17.56,11.01,546.17,565.39,19.22
65,7.43,16.14,17.67,555.03,583.06,28.03
588,13.23,15.4,12.9,555.74,595.96,40.22
949,8.07,10.41,18.48,601.23,614.44,13.21
45,15.62,17.91,6.31,609.69,620.75,11.07
398,5.54,7.32,18.07,621.75,638.83,17.08
249,14.11,8.33,19.92,640.08,658.75,18.67
951,7.51,19.69,13.53,642.37,672.28,29.91
137,5.33,16.26,7.72,643.0,680.0,37.01
921,10.02,17.46,9.65,644.41,689.66,45.25
349,8.01,18.44,17.29,684.69,706.94,22.25
584,12.13,7.13,11.59,693.98,718.53,24.55
445,10.08,14.01,19.94,694.94,738.47,43.52
987,6.89,18.12,6.43,697.3,744.9,47.59
957,10.21,17.11,11.79,741.49,757.38,15.89
700,13.75,11.23,11.5,741.61,768.88,27.27
664,8.24,13.28,14.35,765.88,784.45,18.57
982,15.95,14.05,18.01,778.66,802.46,23.8
128,6.79,12.0,8.01,785.85,810.47,24.62
322,5.09,9.34,5.24,789.45,815.71,26.26
728,9.5,7.91,18.06,804.37,833.77,29.4
151,16.25,16.09,13.38,815.96,847.15,31.19
286,14.55,9.68,18.92,819.22,866.06,46.84
169,11.67,14.42,7.96,820.66,874.02,53.36
906,6.31,14.08,19.41,821.26,893.43,72.16
713,11.25,11.34,14.42,849.18,907.85,58.67
344,11.82,16.44,14.64,871.9,922.49,50.58
620,16.86,13.78,14.79,884.06,937.28,53.22
132,5.68,16.7,18.63,900.79,955.91,55.11
750,12.58,18.61,17.94,904.06,973.85,69.79
974,9.14,11.86,14.04,904.08,987.89,83.82
554,9.86,5.89,6.49,912.97,994.38,81.41
366,9.91,13.66,7.81,915.42,1002.19,86.78
849,19.33,10.75,6.3,947.11,1008.49,61.38
103,11.42,10.73,5.3,949.57,1013.79,64.23
619,15.57,12.44,7.83,956.39,1021.63,65.23
78,12.49,6.46,8.17,982.91,1029.8,46.89
495,7.58,13.94,5.32,1000.86,1035.58,34.72
778,9.91,15.66,11.92,1009.72,1057.84,48.13
681,9.21,12.23,8.93,1013.05,1067.1,54.05
916,8.95,14.4,19.26,1032.37,1091.82,59.45
540,19.21,8.01,9.59,1033.48,1101.41,67.93
649,7.69,19.33,14.81,1064.54,1116.22,51.67
62,14.29,19.03,15.69,1067.96,1134.62,66.66
525,16.91,5.55,12.91,1069.1,1147.53,78.43
360,15.03,19.28,18.02,1104.08,1165.55,61.46
215,13.25,7.99,9.6,1110.61,1175.15,64.54
729,10.06,5.59,7.33,1119.28,1182.48,63.2
253,15.97,15.91,15.98,1122.54,1198.46,75.92
822,10.04,12.08,12.06,1149.19,1210.53,61.34
388,9.94,7.96,11.08,1152.43,1221.6,69.17
463,9.05,12.14,8.35,1161.59,1229.95,68.36
901,8.94,16.86,13.35,1192.74,1243.3,50.56
70,17.85,7.64,14.93,1202.41,1258.23,55.82
458,19.86,5.94,12.2,1249.99,1270.43,20.44
308,10.89,15.93,19.12,1277.62,1289.55,11.94
147,14.28,16.17,18.15,1282.89,1307.7,24.81
833,18.6,19.45,15.05,1292.5,1322.75,30.24
883,17.62,14.19,19.15,1296.67,1341.89,45.23
304,19.08,16.83,11.85,1300.53,1353.74,53.22
142,5.58,10.95,13.49,1310.26,1367.23,56.97
698,18.51,18.31,11.59,1325.48,1378.82,53.34
311,9.44,15.86,10.47,1343.5,1389.29,45.79
662,16.62,14.52,14.43,1345.97,1403.73,57.75
134,5.52,13.17,13.31,1357.0,1417.04,60.04
46,11.62,5.3,7.31,1363.36,1424.35,60.99
874,7.36,10.95,19.92,1371.4,1444.27,72.88
318,11.6,5.48,17.34,1377.35,1461.61,84.26
170,18.65,17.64,7.26,1389.18,1468.87,79.69
450,7.0,18.78,12.81,1403.35,1481.68,78.32
204,11.88,12.55,13.47,1408.24,1495.14,86.9
323,5.49,8.64,13.86,1433.58,1509.0,75.43
500,17.04,5.75,12.27,1441.91,1521.27,79.36
461,7.96,18.11,9.29,1474.22,1530.56,56.34
791,9.63,9.13,16.77,1483.66,1547.33,63.67
852,17.48,18.57,12.72,1486.18,1560.05,73.86
478,9.8,18.56,15.97,1488.84,1576.01,87.17
232,13.98,19.12,9.62,1498.99,1585.63,86.64
895,12.0,16.68,8.61,1504.57,1594.24,89.68
535,15.3,17.07,9.06,1514.14,1603.3,89.16
553,8.49,7.99,8.24,1515.71,1611.54,95.83
369,10.31,11.88,16.76,1527.34,1630.2,102.86
787,17.0,19.48,5.97,1532.25,1638.88,106.63
332,12.56,6.82,5.75,1588.2,1645.48,57.29
551,9.32,12.0,18.46,1590.13,1670.2,80.07
26,6.42,7.1,14.62,1593.38,1684.82,91.44
926,6.06,11.72,8.73,1598.0,1693.56,95.56
893,12.39,19.93,14.63,1605.49,1708.19,102.7
920,13.02,15.23,6.49,1618.73,1714.68,95.94
498,10.13,8.7,15.72,1626.89,1730.4,103.51
127,11.39,13.7,18.03,1635.83,1748.43,112.6
672,13.15,11.79,11.66,1635.9,1760.09,124.19
183,19.34,9.24,15.96,1665.01,1776.05,111.04
761,14.37,7.85,15.98,1678.96,1792.03,113.08
190,16.16,12.28,19.45,1705.28,1811.48,106.2
824,7.56,14.15,10.57,1752.58,1822.05,69.47
226,19.97,5.68,16.56,1758.61,1838.62,80.01
346,9.75,5.77,6.41,1767.9,1845.02,77.12
413,5.79,12.47,8.04,1770.66,1853.06,82.4
289,14.56,16.8,11.79,1784.95,1864.85,79.9
297,18.45,18.04,14.67,1797.58,1879.52,81.94
596,14.02,14.45,19.96,1799.02,1899.48,100.46
214,13.98,17.31,12.07,1837.09,1911.55,74.46
917,15.95,19.82,13.37,1842.42,1924.92,82.5
660,9.22,14.7,10.21,1842.44,1935.13,92.69
894,11.74,11.27,8.45,1847.72,1943.59,95.87
242,19.46,16.22,9.3,1855.89,1952.88,96.99
180,18.01,6.51,7.66,1857.8,1960.55,102.74
865,13.81,18.87,17.2,1861.34,1978.56,117.23
198,8.56,6.56,13.95,1866.08,1992.51,126.43
950,7.58,16.68,10.24,1869.12,2002.76,133.64
482,9.5,14.59,19.45,1871.82,2022.21,150.38
340,16.19,12.28,9.26,1881.64,2031.47,149.83
828,12.66,7.42,11.63,1901.27,2043.1,141.83
196,8.31,9.03,9.55,1933.31,2052.66,119.35
16,12.7,12.4,13.74,1937.48,2066.4,128.92
989,12.74,12.22,15.83,1942.86,2082.23,139.37
270,14.26,9.37,11.16,1963.87,2093.39,129.52
740,6.51,19.98,6.58,1977.14,2099.97,122.84
716,10.59,14.58,5.91,2014.68,2105.88,91.2
999,18.69,14.75,10.24,2038.98,2121.46,82.48
466,14.24,5.08,8.65,2074.89,2130.11,55.22
955,5.21,14.58,12.11,2077.75,2142.99,65.23
557,5.09,8.39,7.15,2085.52,2150.14,64.62
111,12.83,10.98,8.15,2129.75,2158.4,28.64
394,19.95,8.92,8.99,2132.26,2168.15,35.89
6,13.33,18.52,17.27,2134.24,2194.95,60.71
348,10.03,18.1,9.8,2150.99,2205.59,54.6
104,15.05,9.01,12.79,2155.49,2218.38,62.89
985,14.08,19.59,16.83,2158.66,2241.22,82.56
155,14.72,15.99,12.63,2197.97,2253.85,55.89
272,5.59,9.45,19.97,2202.95,2273.82,70.87
790,12.58,15.39,11.69,2203.62,2285.51,81.89
444,6.48,5.55,5.16,2213.92,2290.67,76.74
665,14.71,16.6,19.4,2231.71,2310.07,78.36
265,12.6,14.3,13.52,2235.1,2323.59,88.49
462,8.35,6.16,9.41,2252.9,2333.0,80.11
633,12.25,5.37,10.36,2284.54,2343.36,58.82
632,17.17,6.49,6.77,2295.46,2350.13,54.67
99,16.45,8.6,12.1,2301.9,2362.24,60.33
595,13.09,8.01,7.66,2324.27,2369.89,45.62
779,9.23,7.56,18.32,2341.86,2388.21,46.36
274,16.44,5.76,9.79,2360.2,2398.0,37.8
287,13.96,9.04,19.24,2387.92,2417.24,29.32
745,15.14,15.1,7.81,2395.32,2425.05,29.73
67,11.38,10.72,7.92,2401.94,2432.97,31.02
501,17.85,15.17,10.49,2429.19,2443.46,14.26
481,5.01,7.32,8.1,2429.2,2451.56,22.35
624,14.14,14.56,7.92,2439.15,2459.47,20.32
352,5.67,10.28,11.91,2447.91,2471.38,23.46
767,5.61,12.98,7.99,2453.85,2479.37,25.52
884,17.73,14.45,12.38,2473.68,2491.74,18.06
447,10.72,12.78,17.94,2517.03,2509.68,0.0
707,16.85,17.96,17.8,2532.37,2527.47,0.0
162,15.17,5.99,10.56,2538.07,2538.04,0.0
585,14.56,19.86,6.43,2541.48,2544.47,2.99
186,8.6,9.94,14.03,2545.18,2558.49,13.31
642,6.82,16.12,7.66,2550.47,2566.15,15.68
880,5.98,6.97,16.69,2554.83,2582.84,28.01
