job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
2789,18.43,10.44,15.99,73.42,44.87,0.0
1785,16.15,7.88,14.19,80.89,59.05,0.0
1922,8.74,19.47,18.39,95.12,81.18,0.0
1061,18.9,14.61,19.59,141.68,100.77,0.0
918,14.76,19.72,7.54,165.83,108.32,0.0
1161,17.1,16.99,15.75,167.72,129.86,0.0
2102,14.05,15.22,16.88,183.05,146.74,0.0
1476,10.66,12.51,5.63,203.81,152.37,0.0
2999,14.16,8.87,19.26,221.8,171.63,0.0
806,11.86,10.89,13.29,240.94,184.92,0.0
2938,11.53,6.22,5.22,244.11,190.14,0.0
427,6.76,7.41,12.83,262.38,202.97,0.0
2913,8.64,12.5,7.33,266.55,210.3,0.0
2484,15.06,8.58,10.44,281.11,220.74,0.0
2394,6.38,14.88,6.35,287.45,227.09,0.0
283,8.91,5.68,19.34,299.43,246.43,0.0
1181,15.4,12.73,8.03,326.44,254.46,0.0
269,10.05,7.86,13.96,359.93,268.42,0.0
2694,8.57,5.53,10.08,374.72,278.5,0.0
736,14.86,6.61,18.23,385.63,296.73,0.0
854,8.61,5.17,17.7,409.72,314.42,0.0
58,13.68,8.49,19.8,411.12,334.22,0.0
2531,7.04,14.37,16.96,412.5,351.18,0.0
2980,15.83,15.98,6.05,415.12,357.23,0.0
1325,18.35,5.67,7.01,420.9,364.23,0.0
334,5.79,9.12,8.8,423.27,373.03,0.0
20,16.23,13.52,10.01,462.64,383.04,0.0
2028,6.48,5.87,18.44,470.85,401.47,0.0
1677,13.82,17.83,11.97,477.21,413.45,0.0
1138,14.84,11.25,18.14,488.93,431.58,0.0
2467,10.87,9.51,10.97,492.96,442.55,0.0
573,8.49,19.95,8.76,509.88,451.32,0.0
1050,16.54,7.21,10.29,530.84,461.6,0.0
534,9.25,12.27,14.71,541.67,476.32,0.0
2041,13.9,6.1,15.94,544.42,492.26,0.0
2795,14.97,17.48,12.49,569.76,504.75,0.0
133,16.14,13.57,16.11,590.51,520.86,0.0
1699,5.63,7.92,6.58,590.95,527.44,0.0
2094,15.7,17.27,13.95,599.67,541.4,0.0
2505,8.07,11.25,19.91,613.73,561.31,0.0
1353,5.3,13.36,10.08,627.33,571.39,0.0
351,14.34,6.8,6.48,651.03,577.87,0.0
2293,6.33,8.55,15.07,656.61,592.94,0.0
1818,5.2,6.82,9.3,704.09,602.23,0.0
646,14.38,11.92,5.6,711.32,607.83,0.0
759,12.62,18.96,19.28,716.79,627.11,0.0
102,16.66,5.48,16.2,730.33,643.31,0.0
1190,10.72,10.8,8.33,735.37,651.64,0.0
1068,15.04,19.44,7.07,736.21,658.72,0.0
690,12.65,15.5,17.55,737.99,676.27,0.0
1290,16.79,7.58,6.83,742.73,683.1,0.0
2947,17.05,10.06,14.61,746.02,697.71,0.0
2499,8.31,9.34,5.03,747.51,702.75,0.0
576,8.65,6.94,6.36,768.42,709.11,0.0
72,16.61,12.77,11.06,769.22,720.16,0.0
2605,7.8,10.93,6.93,774.99,727.1,0.0
962,18.18,19.71,17.63,783.92,744.72,0.0
2844,7.12,16.25,18.92,786.69,763.64,0.0
1195,10.95,19.09,10.2,810.87,773.85,0.0
499,13.84,9.73,11.09,814.65,784.93,0.0
1988,13.44,9.97,8.2,817.72,793.13,0.0
2932,9.78,6.84,9.48,824.04,802.61,0.0
2203,18.09,11.47,18.05,826.29,820.66,0.0
2984,8.57,9.28,19.08,827.33,839.75,12.42
1031,9.55,8.68,18.96,828.56,858.71,30.15
928,14.37,7.37,8.14,848.16,866.84,18.68
956,18.1,6.09,9.04,852.86,875.88,23.02
96,8.08,14.63,10.84,882.87,886.72,3.86
912,6.53,12.23,15.08,892.85,901.81,8.96
1794,8.4,11.7,11.81,920.99,913.62,0.0
1567,19.85,6.53,7.21,929.51,920.83,0.0
610,9.95,5.36,14.84,931.81,935.67,3.86
2858,12.32,15.27,11.23,931.87,946.9,15.03
2716,8.02,15.0,12.93,951.75,959.83,8.08
922,14.5,6.84,16.09,952.62,975.92,23.29
1184,15.51,5.8,12.48,981.92,988.4,6.48
1970,13.44,5.01,18.32,997.71,1006.72,9.01
1751,6.6,8.91,8.86,999.94,1015.58,15.65
1545,9.85,8.11,14.21,1001.34,1029.79,28.45
2417,5.0,13.75,13.38,1020.69,1043.17,22.49
1698,11.88,8.81,19.69,1076.56,1062.86,0.0
237,19.81,9.11,17.71,1082.25,1080.58,0.0
1985,12.63,14.75,17.2,1108.98,1097.78,0.0
1779,12.69,18.34,6.98,1117.98,1104.76,0.0
2862,6.07,18.24,6.09,1124.75,1110.85,0.0
227,9.96,15.64,13.41,1133.43,1124.26,0.0
2404,14.98,14.31,19.74,1170.16,1144.0,0.0
313,14.18,16.37,15.9,1191.03,1159.9,0.0
1116,5.04,18.01,17.72,1214.38,1177.62,0.0
1614,16.28,7.14,19.98,1222.02,1197.6,0.0
2023,8.13,16.23,17.02,1222.37,1214.62,0.0
2084,13.43,11.0,7.27,1229.5,1221.89,0.0
1202,12.63,17.54,9.98,1232.72,1231.87,0.0
1891,11.24,10.74,15.13,1264.31,1247.0,0.0
2181,13.16,6.3,17.63,1268.16,1264.63,0.0
850,14.34,19.85,5.47,1270.03,1270.1,0.07
1530,16.9,15.56,8.01,1278.13,1278.11,0.0
1311,9.67,18.53,12.96,1280.75,1291.07,10.32
