job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
3003,14.45,7.12,12.41,43.64,33.98,0.0
4403,14.07,10.31,11.74,48.24,50.57,2.34
3391,14.43,15.64,9.24,50.6,67.83,17.23
3725,7.49,9.85,13.21,57.59,81.65,24.06
3786,11.2,6.94,19.98,76.83,101.63,24.8
4690,19.63,10.31,6.04,77.75,107.67,29.91
2789,18.43,10.44,15.99,93.59,126.13,32.55
1785,16.15,7.88,14.19,111.01,140.32,29.31
1922,8.74,19.47,18.39,129.39,162.45,33.06
1061,18.9,14.61,19.59,204.22,182.04,0.0
3907,6.47,17.33,9.18,206.33,191.22,0.0
3839,17.1,5.39,7.91,218.25,199.12,0.0
4743,13.57,6.13,18.78,243.57,217.9,0.0
1161,17.1,16.99,15.75,250.96,233.65,0.0
918,14.76,19.72,7.54,253.26,241.99,0.0
3284,19.47,12.1,5.01,258.3,251.55,0.0
3277,18.6,5.74,6.61,263.33,262.92,0.0
4945,6.3,15.97,7.95,269.09,280.78,11.7
2102,14.05,15.22,16.88,279.73,304.94,25.2
3141,15.17,11.71,19.5,309.69,324.44,14.74
1476,10.66,12.51,5.63,327.39,330.07,2.68
3468,16.46,12.11,12.73,341.25,342.8,1.55
2999,14.16,8.87,19.26,348.56,362.06,13.5
806,11.86,10.89,13.29,385.63,375.35,0.0
3033,11.4,7.24,11.75,396.82,387.1,0.0
2938,11.53,6.22,5.22,400.27,392.32,0.0
4097,13.97,13.6,6.27,400.95,398.59,0.0
3113,7.28,7.28,5.94,409.66,404.53,0.0
3346,19.11,7.11,5.39,416.28,415.02,0.0
427,6.76,7.41,12.83,428.6,429.87,1.26
2913,8.64,12.5,7.33,434.68,437.74,3.06
3415,7.31,5.2,17.08,445.51,454.83,9.31
2484,15.06,8.58,10.44,455.55,465.27,9.72
2394,6.38,14.88,6.35,470.95,471.61,0.66
283,8.91,5.68,19.34,486.92,490.96,4.03
4591,18.98,13.09,8.59,501.13,499.55,0.0
1181,15.4,12.73,8.03,531.43,510.72,0.0
3862,19.8,15.62,17.34,539.27,542.72,3.45
4758,11.84,6.97,11.54,559.68,554.25,0.0
4871,16.34,18.39,16.8,576.03,573.13,0.0
3824,18.36,19.28,16.14,582.93,591.76,8.83
269,10.05,7.86,13.96,591.6,605.72,14.12
2694,8.57,5.53,10.08,622.27,615.8,0.0
736,14.86,6.61,18.23,629.92,634.03,4.11
3524,15.87,19.16,10.58,630.97,644.61,13.64
3637,7.47,19.5,9.6,643.45,654.21,10.75
3852,9.85,18.11,15.34,660.9,677.74,16.84
4212,15.29,6.55,5.32,668.58,683.06,14.47
58,13.68,8.49,19.8,671.82,702.86,31.04
2531,7.04,14.37,16.96,676.7,719.81,43.12
854,8.61,5.17,17.7,676.83,737.51,60.68
2980,15.83,15.98,6.05,681.53,743.56,62.03
1325,18.35,5.67,7.01,696.22,750.56,54.34
334,5.79,9.12,8.8,705.43,759.36,53.93
4781,19.33,13.7,15.47,753.81,774.83,21.02
20,16.23,13.52,10.01,761.27,784.84,23.57
3041,6.36,18.55,17.11,767.48,801.94,34.46
4184,17.4,9.24,15.04,777.59,816.99,39.39
2028,6.48,5.87,18.44,781.61,835.42,53.82
1677,13.82,17.83,11.97,783.4,847.4,64.0
3209,11.11,19.49,19.62,790.06,867.01,76.95
3079,8.71,7.72,11.51,796.62,878.53,81.91
1138,14.84,11.25,18.14,802.97,896.67,93.69
2467,10.87,9.51,10.97,818.94,907.63,88.69
4896,10.33,19.26,8.48,821.46,916.11,94.66
3841,5.37,9.41,19.79,838.6,935.9,97.3
573,8.49,19.95,8.76,843.67,944.67,101.0
1050,16.54,7.21,10.29,881.68,954.96,73.28
534,9.25,12.27,14.71,898.6,969.67,71.07
2041,13.9,6.1,15.94,903.49,985.61,82.13
2795,14.97,17.48,12.49,940.37,998.1,57.73
4625,7.07,15.24,18.23,954.86,1016.34,61.47
133,16.14,13.57,16.11,975.16,1032.45,57.29
4530,12.3,8.72,13.5,980.98,1045.95,64.96
3730,19.03,7.28,18.5,989.28,1064.44,75.17
2094,15.7,17.27,13.95,990.01,1078.4,88.38
1699,5.63,7.92,6.58,994.05,1084.97,90.93
4060,10.76,15.21,6.27,998.49,1091.25,92.76
2505,8.07,11.25,19.91,1019.43,1111.16,91.72
1353,5.3,13.36,10.08,1050.04,1121.24,71.19
4160,10.35,9.38,18.79,1054.14,1140.02,85.88
3593,11.61,19.47,14.7,1080.43,1154.73,74.3
351,14.34,6.8,6.48,1091.26,1161.21,69.95
4068,11.93,6.19,12.95,1098.19,1174.16,75.97
2293,6.33,8.55,15.07,1099.14,1189.22,90.08
4909,7.37,18.51,9.02,1179.9,1198.25,18.35
1818,5.2,6.82,9.3,1186.24,1207.54,21.3
759,12.62,18.96,19.28,1187.06,1226.82,39.76
3387,18.39,17.45,19.4,1189.28,1246.22,56.94
646,14.38,11.92,5.6,1191.11,1251.82,60.71
102,16.66,5.48,16.2,1218.98,1268.02,49.04
1068,15.04,19.44,7.07,1226.76,1275.1,48.34
690,12.65,15.5,17.55,1226.86,1292.65,65.78
1190,10.72,10.8,8.33,1233.59,1300.98,67.38
3540,16.52,7.68,5.69,1241.86,1306.67,64.8
2947,17.05,10.06,14.61,1243.38,1321.28,77.9
1290,16.79,7.58,6.83,1245.19,1328.11,82.92
3665,6.75,13.18,10.94,1249.91,1339.06,89.14
3507,19.26,8.84,9.38,1258.3,1348.44,90.14
2499,8.31,9.34,5.03,1259.36,1353.47,94.11
72,16.61,12.77,11.06,1283.86,1364.53,80.67
576,8.65,6.94,6.36,1295.55,1370.89,75.34
962,18.18,19.71,17.63,1298.3,1388.52,90.22
2605,7.8,10.93,6.93,1304.15,1395.45,91.3
4495,5.45,5.95,12.98,1305.89,1408.43,102.54
2844,7.12,16.25,18.92,1312.37,1427.35,114.99
4358,18.92,17.8,15.32,1351.24,1442.68,91.43
3163,7.89,10.0,10.33,1354.67,1453.0,98.33
