job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
2789,18.43,10.44,15.99,72.49,44.87,0.0
1785,16.15,7.88,14.19,79.49,59.05,0.0
1922,8.74,19.47,18.39,93.54,81.18,0.0
1061,18.9,14.61,19.59,138.79,100.77,0.0
918,14.76,19.72,7.54,161.79,108.32,0.0
1161,17.1,16.99,15.75,163.88,129.86,0.0
2102,14.05,15.22,16.88,178.59,146.74,0.0
1476,10.66,12.51,5.63,198.1,152.37,0.0
2999,14.16,8.87,19.26,215.95,171.63,0.0
806,11.86,10.89,13.29,234.26,184.92,0.0
2938,11.53,6.22,5.22,236.9,190.14,0.0
427,6.76,7.41,12.83,254.71,202.97,0.0
2913,8.64,12.5,7.33,258.79,210.3,0.0
2484,15.06,8.58,10.44,273.06,220.74,0.0
2394,6.38,14.88,6.35,278.99,227.09,0.0
283,8.91,5.68,19.34,290.78,246.43,0.0
1181,15.4,12.73,8.03,316.98,254.46,0.0
269,10.05,7.86,13.96,349.24,268.42,0.0
2694,8.57,5.53,10.08,363.3,278.5,0.0
736,14.86,6.61,18.23,374.36,296.73,0.0
854,8.61,5.17,17.7,397.39,314.42,0.0
58,13.68,8.49,19.8,399.09,334.22,0.0
2531,7.04,14.37,16.96,400.3,351.18,0.0
2980,15.83,15.98,6.05,402.82,357.23,0.0
1325,18.35,5.67,7.01,408.19,364.23,0.0
334,5.79,9.12,8.8,410.25,373.03,0.0
20,16.23,13.52,10.01,448.86,383.04,0.0
2028,6.48,5.87,18.44,456.51,401.47,0.0
1677,13.82,17.83,11.97,463.08,413.45,0.0
1138,14.84,11.25,18.14,474.44,431.58,0.0
2467,10.87,9.51,10.97,477.92,442.55,0.0
573,8.49,19.95,8.76,494.47,451.32,0.0
1050,16.54,7.21,10.29,514.65,461.6,0.0
534,9.25,12.27,14.71,525.2,476.32,0.0
2041,13.9,6.1,15.94,527.85,492.26,0.0
2795,14.97,17.48,12.49,552.65,504.75,0.0
1699,5.63,7.92,6.58,572.34,511.33,0.0
133,16.14,13.57,16.11,572.76,527.44,0.0
2094,15.7,17.27,13.95,581.66,541.4,0.0
2505,8.07,11.25,19.91,595.01,561.31,0.0
1353,5.3,13.36,10.08,607.82,571.39,0.0
351,14.34,6.8,6.48,630.71,577.87,0.0
2293,6.33,8.55,15.07,636.19,592.94,0.0
1818,5.2,6.82,9.3,681.84,602.23,0.0
646,14.38,11.92,5.6,689.18,607.83,0.0
759,12.62,18.96,19.28,695.09,627.11,0.0
102,16.66,5.48,16.2,707.78,643.31,0.0
1190,10.72,10.8,8.33,712.38,651.64,0.0
1068,15.04,19.44,7.07,713.57,658.72,0.0
690,12.65,15.5,17.55,715.43,676.27,0.0
1290,16.79,7.58,6.83,719.54,683.1,0.0
2947,17.05,10.06,14.61,723.07,697.71,0.0
2499,8.31,9.34,5.03,723.89,702.75,0.0
576,8.65,6.94,6.36,744.09,709.11,0.0
72,16.61,12.77,11.06,745.47,720.16,0.0
2605,7.8,10.93,6.93,750.57,727.1,0.0
962,18.18,19.71,17.63,760.18,744.72,0.0
2844,7.12,16.25,18.92,762.43,763.64,1.21
1195,10.95,19.09,10.2,785.75,773.85,0.0
499,13.84,9.73,11.09,789.23,784.93,0.0
1988,13.44,9.97,8.2,792.1,793.13,1.03
2932,9.78,6.84,9.48,798.03,802.61,4.58
2203,18.09,11.47,18.05,800.91,820.66,19.75
2984,8.57,9.28,19.08,801.57,839.75,38.18
1031,9.55,8.68,18.96,802.76,858.71,55.94
928,14.37,7.37,8.14,821.5,866.84,45.35
956,18.1,6.09,9.04,826.15,875.88,49.74
96,8.08,14.63,10.84,855.19,886.72,31.54
912,6.53,12.23,15.08,864.86,901.81,36.95
1794,8.4,11.7,11.81,892.02,913.62,21.6
1567,19.85,6.53,7.21,900.31,920.83,20.52
610,9.95,5.36,14.84,902.43,935.67,33.25
2858,12.32,15.27,11.23,902.76,946.9,44.14
2716,8.02,15.0,12.93,921.91,959.83,37.93
922,14.5,6.84,16.09,922.8,975.92,53.12
1184,15.51,5.8,12.48,951.02,988.4,37.38
1970,13.44,5.01,18.32,966.39,1006.72,40.33
1751,6.6,8.91,8.86,968.14,1015.58,47.44
1545,9.85,8.11,14.21,969.76,1029.79,60.04
2417,5.0,13.75,13.38,988.47,1043.17,54.71
1698,11.88,8.81,19.69,1042.79,1062.86,20.07
237,19.81,9.11,17.71,1048.5,1080.58,32.08
1985,12.63,14.75,17.2,1074.29,1097.78,23.49
1779,12.69,18.34,6.98,1082.78,1104.76,21.98
2862,6.07,18.24,6.09,1089.09,1110.85,21.77
227,9.96,15.64,13.41,1097.77,1124.26,26.5
2404,14.98,14.31,19.74,1133.62,1144.0,10.38
313,14.18,16.37,15.9,1153.73,1159.9,6.18
1116,5.04,18.01,17.72,1176.13,1177.62,1.48
1614,16.28,7.14,19.98,1183.61,1197.6,13.99
2023,8.13,16.23,17.02,1183.88,1214.62,30.74
2084,13.43,11.0,7.27,1190.46,1221.89,31.43
1202,12.63,17.54,9.98,1193.85,1231.87,38.02
1891,11.24,10.74,15.13,1224.32,1247.0,22.68
2181,13.16,6.3,17.63,1228.04,1264.63,36.59
850,14.34,19.85,5.47,1229.93,1270.1,40.17
1530,16.9,15.56,8.01,1237.79,1278.11,40.31
1311,9.67,18.53,12.96,1240.35,1291.07,50.72
1642,15.96,6.55,16.07,1247.32,1307.14,59.82
693,11.45,10.42,16.68,1254.75,1323.82,69.07
594,16.25,11.98,12.42,1260.31,1336.23,75.92
560,14.03,6.77,7.76,1294.62,1343.99,49.38
175,9.45,15.34,19.43,1307.08,1363.42,56.35
2561,8.17,8.7,13.56,1319.19,1376.98,57.8
970,11.04,17.13,15.06,1341.83,1392.04,50.21
83,10.62,19.68,11.05,1351.91,1403.09,51.18
57,19.44,16.51,15.33,1361.91,1418.42,56.51
2887,16.84,9.18,12.25,1371.85,1430.67,58.82
1385,15.63,6.94,8.39,1387.4,1439.06,51.66
2950,8.22,12.04,15.26,1391.6,1454.32,62.72
1958,15.98,15.1,9.47,1414.75,1463.8,49.05
996,7.52,17.56,11.01,1424.19,1474.8,50.61
2634,11.0,14.96,18.24,1435.72,1493.05,57.32
65,7.43,16.14,17.67,1439.43,1510.71,71.28
588,13.23,15.4,12.9,1440.86,1523.61,82.75
1685,12.74,11.35,16.69,1480.33,1540.3,59.97
1667,17.91,8.44,11.8,1488.06,1552.1,64.04
1656,9.84,6.28,12.38,1571.11,1564.48,0.0
949,8.07,10.41,18.48,1572.53,1582.96,10.43
