job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
3003,14.45,7.12,12.41,43.19,33.98,0.0
4403,14.07,10.31,11.74,47.67,50.57,2.91
3391,14.43,15.64,9.24,50.07,67.83,17.76
3725,7.49,9.85,13.21,56.32,81.65,25.33
3786,11.2,6.94,19.98,75.01,101.63,26.61
4690,19.63,10.31,6.04,75.79,107.67,31.88
2789,18.43,10.44,15.99,91.3,126.13,34.83
1785,16.15,7.88,14.19,107.6,140.32,32.72
1922,8.74,19.47,18.39,125.51,162.45,36.94
1061,18.9,14.61,19.59,197.13,182.04,0.0
3907,6.47,17.33,9.18,198.19,191.22,0.0
3839,17.1,5.39,7.91,209.43,199.12,0.0
4743,13.57,6.13,18.78,233.94,217.9,0.0
1161,17.1,16.99,15.75,241.52,233.65,0.0
918,14.76,19.72,7.54,243.35,241.99,0.0
3284,19.47,12.1,5.01,247.9,251.55,3.66
3277,18.6,5.74,6.61,252.42,262.92,10.5
4945,6.3,15.97,7.95,257.88,280.78,22.91
2102,14.05,15.22,16.88,268.77,304.94,36.16
3141,15.17,11.71,19.5,297.34,324.44,27.1
1476,10.66,12.51,5.63,313.38,330.07,16.7
3468,16.46,12.11,12.73,327.17,342.8,15.63
2999,14.16,8.87,19.26,334.19,362.06,27.87
806,11.86,10.89,13.29,369.23,375.35,6.12
3033,11.4,7.24,11.75,379.63,387.1,7.47
2938,11.53,6.22,5.22,382.56,392.32,9.75
4097,13.97,13.6,6.27,383.73,398.59,14.86
3113,7.28,7.28,5.94,391.39,404.53,13.13
3346,19.11,7.11,5.39,398.22,415.02,16.79
427,6.76,7.41,12.83,409.76,429.87,20.11
2913,8.64,12.5,7.33,415.62,437.74,22.13
3415,7.31,5.2,17.08,425.99,454.83,28.83
2484,15.06,8.58,10.44,435.77,465.27,29.49
2394,6.38,14.88,6.35,450.14,471.61,21.47
283,8.91,5.68,19.34,465.66,490.96,25.29
4591,18.98,13.09,8.59,479.52,499.55,20.03
1181,15.4,12.73,8.03,508.19,510.72,2.53
3862,19.8,15.62,17.34,516.44,542.72,26.28
4758,11.84,6.97,11.54,534.84,554.25,19.41
4871,16.34,18.39,16.8,551.42,573.13,21.72
3824,18.36,19.28,16.14,558.1,591.76,33.66
269,10.05,7.86,13.96,565.33,605.72,40.39
